1	1.00	0.01	0.03
2	1.00	0.03	0.06
3	1.00	0.04	0.09
4	1.00	0.06	0.11
5	0.80	0.06	0.11
6	0.83	0.07	0.14
7	0.86	0.09	0.16
8	0.75	0.09	0.16
9	0.78	0.10	0.18
10	0.80	0.12	0.21
11	0.82	0.13	0.23
12	0.83	0.15	0.25
13	0.85	0.16	0.28
14	0.86	0.18	0.30
15	0.87	0.19	0.32
16	0.88	0.21	0.34
17	0.88	0.22	0.36
18	0.89	0.24	0.38
19	0.89	0.25	0.40
20	0.90	0.27	0.41
21	0.90	0.28	0.43
22	0.91	0.30	0.45
23	0.91	0.31	0.47
24	0.92	0.33	0.48
25	0.92	0.34	0.50
26	0.92	0.36	0.52
27	0.93	0.37	0.53
28	0.93	0.39	0.55
29	0.93	0.40	0.56
30	0.93	0.42	0.58
31	0.94	0.43	0.59
32	0.94	0.45	0.61
33	0.94	0.46	0.62
34	0.94	0.48	0.63
35	0.94	0.49	0.65
36	0.94	0.51	0.66
37	0.95	0.52	0.67
38	0.95	0.54	0.69
39	0.95	0.55	0.70
40	0.95	0.57	0.71
41	0.95	0.58	0.72
42	0.95	0.60	0.73
43	0.95	0.61	0.75
44	0.95	0.63	0.76
45	0.96	0.64	0.77
46	0.96	0.66	0.78
47	0.96	0.67	0.79
48	0.94	0.67	0.78
49	0.92	0.67	0.78
50	0.92	0.69	0.79
51	0.90	0.69	0.78
52	0.88	0.69	0.77
53	0.87	0.69	0.77
54	0.85	0.69	0.76
55	0.85	0.70	0.77
56	0.84	0.70	0.76
57	0.84	0.72	0.77
58	0.84	0.73	0.78
59	0.83	0.73	0.78
60	0.82	0.73	0.77
61	0.82	0.75	0.78
62	0.81	0.75	0.78
63	0.81	0.76	0.78
64	0.81	0.78	0.79
65	0.82	0.79	0.80
66	0.80	0.79	0.80
67	0.81	0.81	0.81
68	0.81	0.82	0.81
69	0.80	0.82	0.81
70	0.80	0.84	0.82
71	0.80	0.85	0.83
72	0.79	0.85	0.82
73	0.78	0.85	0.81
74	0.78	0.87	0.82
75	0.77	0.87	0.82
76	0.76	0.87	0.81
77	0.77	0.88	0.82
78	0.76	0.88	0.81
79	0.75	0.88	0.81
80	0.74	0.88	0.80
81	0.74	0.90	0.81
82	0.73	0.90	0.81
83	0.72	0.90	0.80
84	0.71	0.90	0.79
85	0.72	0.91	0.80
86	0.71	0.91	0.80
87	0.70	0.91	0.79
88	0.70	0.93	0.80
89	0.71	0.94	0.81
90	0.71	0.96	0.82
91	0.70	0.96	0.81
92	0.71	0.97	0.82
93	0.70	0.97	0.81
94	0.70	0.99	0.82
95	0.69	0.99	0.81
96	0.69	0.99	0.81
97	0.68	0.99	0.80
98	0.68	1.00	0.81
99	0.68	1.00	0.81
100	0.67	1.00	0.80
