
1	0.00	0.00	NaN
2	0.50	0.10	0.17
3	0.67	0.20	0.31
4	0.75	0.30	0.43
5	0.60	0.30	0.40
6	0.67	0.40	0.50
7	0.71	0.50	0.59
8	0.63	0.50	0.56
9	0.56	0.50	0.53
10	0.50	0.50	0.50
11	0.55	0.60	0.57
12	0.58	0.70	0.64
13	0.54	0.70	0.61
14	0.50	0.70	0.58
15	0.47	0.70	0.56
16	0.44	0.70	0.54
17	0.41	0.70	0.52
18	0.39	0.70	0.50
19	0.37	0.70	0.48
20	0.35	0.70	0.47
21	0.33	0.70	0.45
22	0.32	0.70	0.44
23	0.30	0.70	0.42
24	0.33	0.80	0.47
25	0.36	0.90	0.51
26	0.38	1.00	0.56
27	0.37	1.00	0.54
28	0.36	1.00	0.53
29	0.34	1.00	0.51
30	0.33	1.00	0.50
31	0.32	1.00	0.49
32	0.31	1.00	0.48
33	0.30	1.00	0.47
34	0.29	1.00	0.45
35	0.29	1.00	0.44
36	0.28	1.00	0.43
37	0.27	1.00	0.43
38	0.26	1.00	0.42
39	0.26	1.00	0.41
40	0.25	1.00	0.40
41	0.24	1.00	0.39
42	0.24	1.00	0.38
43	0.23	1.00	0.38
44	0.23	1.00	0.37
45	0.22	1.00	0.36
46	0.22	1.00	0.36
47	0.21	1.00	0.35
48	0.21	1.00	0.34
49	0.20	1.00	0.34
50	0.20	1.00	0.33
51	0.20	1.00	0.33
52	0.19	1.00	0.32
53	0.19	1.00	0.32
54	0.19	1.00	0.31
55	0.18	1.00	0.31
56	0.18	1.00	0.30
57	0.18	1.00	0.30
58	0.17	1.00	0.29
59	0.17	1.00	0.29
60	0.17	1.00	0.29
61	0.16	1.00	0.28
62	0.16	1.00	0.28
63	0.16	1.00	0.27
64	0.16	1.00	0.27
65	0.15	1.00	0.27
66	0.15	1.00	0.26
67	0.15	1.00	0.26
68	0.15	1.00	0.26
69	0.14	1.00	0.25
70	0.14	1.00	0.25
71	0.14	1.00	0.25
72	0.14	1.00	0.24
73	0.14	1.00	0.24
74	0.14	1.00	0.24
75	0.13	1.00	0.24
76	0.13	1.00	0.23
77	0.13	1.00	0.23
